"","BC10","Parity","Type","Mean_age","SD","q25","q75","Country"
"1","1930s","1","child1",26.671783492592,0.844938331135077,26.144,27.3810622389381,"All"
"2","1930s","2","child1",24.5982564727555,1.05096471376303,23.74231678487,25.2327049568778,"All"
"3","1930s","2","child2",29.2481517227561,0.786422773634081,28.9608144012676,29.5274736512271,"All"
"4","1930s","2","child3",33,0,33,33,"All"
"5","1930s","3","child1",23.4474213432581,0.919242962110915,22.7945606253227,24.0584733120525,"All"
"6","1930s","3","child2",26.4275098306059,0.908658369962704,25.9948819145339,26.9662921348315,"All"
"7","1930s","3","child3",31.282467603079,0.80555426692146,31.1361793278065,31.6538367431846,"All"
"8","1930s","3","child4",26.2,0,26.2,26.2,"All"
"9","1930s","4+","child1",22.6132166663285,0.756581424966511,22.1923076923077,22.9934960429595,"All"
"10","1930s","4+","child2",24.8885222281568,0.758629111636751,24.3137254901961,25.4479752434146,"All"
"11","1930s","4+","child3",27.5841347193093,0.916309556099139,26.8216461418438,28.1217276259428,"All"
"12","1930s","4+","child4",31.4434035500908,1.48351307209428,31,31.8744452560236,"All"
"13","1940s","1","child1",26.4154644664362,0.928334079952227,25.6293635162085,26.4921588783256,"All"
"14","1940s","2","child1",23.69000069709,0.886244740520886,22.9180106229898,24.125718633146,"All"
"15","1940s","2","child2",28.3071963851873,0.692952817151982,27.8849206349206,28.6511627906977,"All"
"16","1940s","3","child1",22.6964033303255,0.754040834856231,22.3684210526316,23.0211016751818,"All"
"17","1940s","3","child2",25.7234417202209,0.744591331160211,25.3037974683544,26.1877826331896,"All"
"18","1940s","3","child3",30.62146103613,0.978492679155534,30.5925137787793,31.3866666666667,"All"
"19","1940s","3","child4",22,0,22,22,"All"
"20","1940s","4+","child1",21.5349989639655,0.658654539530345,21.1785714285714,21.7723760936526,"All"
"21","1940s","4+","child2",23.785157937901,0.716873811713366,23.202380952381,24.0980348286928,"All"
"22","1940s","4+","child3",26.8211084551428,1.05565099354136,25.9117255088855,27.5357142857143,"All"
"23","1940s","4+","child4",30.6915576066381,1.00161410317946,30.2285714285714,31.2857142857143,"All"
"24","1950s","1","child1",27.0347454337912,1.0775305362126,26.0352547147526,27.6715867158672,"All"
"25","1950s","2","child1",24.457600309362,1.29507002762667,23.2060044994383,25.5722713864307,"All"
"26","1950s","2","child2",28.9898684129907,0.941392636601187,28.8414442700157,29.8814655172414,"All"
"27","1950s","3","child1",23.0182218370852,1.20438280339061,22.1892433827696,23.9509803921569,"All"
"28","1950s","3","child2",26.3287453397491,1.11599348758753,25.5059523809524,27.3852265717062,"All"
"29","1950s","3","child3",31.4485073980048,1.0108294960699,31.2634730538922,32.1076428164023,"All"
"30","1950s","3","child4",32.5,0,32.5,32.5,"All"
"31","1950s","4+","child1",21.7354204176522,0.950226171010685,20.9047619047619,22.6236155203951,"All"
"32","1950s","4+","child2",24.5374034451227,0.837914892638249,24.0552429922066,25.2734635344031,"All"
"33","1950s","4+","child3",28.123601216972,1.02602247730307,27.703338250748,28.9285714285714,"All"
"34","1950s","4+","child4",32.1313403891083,1.21124430793484,31.3989996574155,32.7415415760737,"All"
"35","1960s","1","child1",27.1921559931271,1.9298194914042,25.3710407239819,29.1672339059701,"All"
"36","1960s","2","child1",24.5380328955713,2.30480072018152,22.0096774193548,26.6618705035971,"All"
"37","1960s","2","child2",28.6249334265527,1.98675797363554,26.4935483870968,30.5142857142857,"All"
"38","1960s","2","child3",30.2759334105472,0.446983404044262,31,31,"All"
"39","1960s","2","child4",28,0,28,28,"All"
"40","1960s","3","child1",23.1684446202541,1.71465495275114,21.6,24.6127980061461,"All"
"41","1960s","3","child2",26.3421312528387,1.57839222092153,25.0508474576271,27.8129387433707,"All"
"42","1960s","3","child3",31.3891037581927,1.11401015661567,31.2033898305085,32.2793800459235,"All"
"43","1960s","3","child4",23,0,23,23,"All"
"44","1960s","4+","child1",21.9805354604299,1.07691718364534,21.5384615384615,22.7633068748324,"All"
"45","1960s","4+","child2",24.5675486109643,1.34145590071471,23.9230769230769,25.855593591243,"All"
"46","1960s","4+","child3",27.9811278678725,1.42489380500833,27.6153846153846,29.173880159887,"All"
"47","1960s","4+","child4",31.5936663552541,1.50388534522245,30.5384615384615,33.1707317073171,"All"
